,movie,year,imdb,metascore,votes,n_imdb
1974,Blackfish,2013,8.1,83,53904,81.0
1975,Grudge Match,2013,6.4,35,52000,64.0
1976,Drinking Buddies,2013,6.1,71,51922,61.0
1977,The Frozen Ground,2013,6.4,37,49771,64.0
1978,The East,2013,6.8,68,45598,68.0
1979,Ida,2013,7.4,91,42737,74.0
1980,Bad Words,2013,6.7,57,42596,67.0
1981,The Big Wedding,2013,5.6,28,42563,56.0
1982,Chennai Express,2013,6.0,45,42387,60.0
1983,The Double,2013,6.5,68,42094,65.0
1984,Odd Thomas,2013,6.9,45,41811,69.0
1985,Joe,2013,6.9,74,41095,69.0
1986,The Zero Theorem,2013,6.1,50,40323,61.0
1987,The Lunchbox,2013,7.8,76,39842,78.0
1988,The Colony,2013,5.3,28,39264,53.0
1989,The Past,2013,7.8,85,39187,78.0
1990,A Haunted House,2013,5.1,20,38732,51.0
1991,Planes,2013,5.7,39,38576,57.0
1992,Dhoom 3,2013,5.4,61,38381,54.0
1993,Starred Up,2013,7.4,81,37652,74.0
1994,Labor Day,2013,6.9,52,36990,69.0
1995,Lovelace,2013,6.2,51,34637,62.0
1996,The Fifth Estate,2013,6.2,49,34640,62.0
1997,Interstellar,2014,8.6,74,1193010,86.0
1998,Guardians of the Galaxy,2014,8.1,76,859856,81.0
1999,Gone Girl,2014,8.1,79,711037,81.0
2000,Captain America: The Winter Soldier,2014,7.8,70,608169,78.0
2001,The Grand Budapest Hotel,2014,8.1,88,594126,81.0
2002,X-Men: Days of Future Past,2014,8.0,75,590764,80.0
2003,The Imitation Game,2014,8.0,73,581371,80.0
2004,Whiplash,2014,8.5,88,559877,85.0
2005,Edge of Tomorrow,2014,7.9,71,516311,79.0
2006,Kingsman: The Secret Service,2014,7.7,60,512666,77.0
2007,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486351,77.0
2008,The Hobbit: The Battle of the Five Armies,2014,7.4,59,416731,74.0
2009,John Wick,2014,7.3,68,392552,73.0
2010,Ex Machina,2014,7.7,78,390518,77.0
2011,Divergent,2014,6.7,48,384836,67.0
2012,Lucy,2014,6.4,61,382648,64.0
2013,American Sniper,2014,7.3,72,381102,73.0
2014,Dawn of the Planet of the Apes,2014,7.6,79,375295,76.0
2015,Nightcrawler,2014,7.9,76,374733,79.0
2016,The Maze Runner,2014,6.8,57,368972,68.0
2017,The Amazing Spider-Man 2,2014,6.7,53,368803,67.0
2018,Fury,2014,7.6,64,360886,76.0
2019,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,359722,67.0
2020,Big Hero 6,2014,7.8,74,342204,78.0
2021,The Theory of Everything,2014,7.7,72,335315,77.0
2022,Godzilla,2014,6.4,62,334110,64.0
2023,Boyhood,2014,7.9,100,305068,79.0
2024,22 Jump Street,2014,7.0,71,303980,70.0
2025,The Fault in Our Stars,2014,7.8,69,296779,78.0
2026,Maleficent,2014,7.0,56,289382,70.0
2027,The Lego Movie,2014,7.8,83,287397,78.0
2028,The Interview,2014,6.6,52,276174,66.0
2029,Transformers: Age of Extinction,2014,5.7,32,273244,57.0
2030,The Equalizer,2014,7.2,57,269790,72.0
2031,How to Train Your Dragon 2,2014,7.8,76,256152,78.0
2032,Neighbors,2014,6.3,68,254181,63.0
2033,300: Rise of an Empire,2014,6.2,48,252270,62.0
2034,Non-Stop,2014,7.0,56,225432,70.0
2035,Noah,2014,5.8,68,221040,58.0
2036,Predestination,2014,7.5,69,211578,75.0
2037,RoboCop,2014,6.2,52,199620,62.0
2038,Transcendence,2014,6.3,42,197006,63.0
2039,Teenage Mutant Ninja Turtles,2014,5.8,31,187212,58.0
2040,It Follows,2014,6.9,83,165431,69.0
2041,Chef,2014,7.3,68,165185,73.0
2042,Dracula Untold,2014,6.3,40,158468,63.0
2043,Taken 3,2014,6.0,26,156814,60.0
2044,The Judge,2014,7.4,48,156566,74.0
2045,The Babadook,2014,6.8,86,155764,68.0
2046,A Million Ways to Die in the West,2014,6.1,44,154117,61.0
2047,Need for Speed,2014,6.5,39,150288,65.0
2048,The Expendables 3,2014,6.1,35,148646,61.0
2049,Exodus: Gods and Kings,2014,6.0,52,145791,60.0
2050,Wild Tales,2014,8.1,77,136777,81.0
2051,Horrible Bosses 2,2014,6.3,40,136685,63.0
2052,Sin City: A Dame to Kill For,2014,6.5,46,133070,65.0
2053,Hercules,2014,6.0,47,130618,60.0
2054,The Drop,2014,7.1,69,126020,71.0
2055,Unbroken,2014,7.2,59,124305,72.0
2056,Foxcatcher,2014,7.0,81,121770,70.0
2057,Let's Be Cops,2014,6.5,30,118195,65.0
2058,Into the Woods,2014,6.0,69,118105,60.0
2059,The Purge: Anarchy,2014,6.5,50,117901,65.0
2060,The Other Woman,2014,6.0,39,117800,60.0
2061,The Monuments Men,2014,6.1,52,113822,61.0
2062,Dumb and Dumber To,2014,5.6,36,112493,56.0
2063,Still Alice,2014,7.5,72,110148,75.0
2064,Annabelle,2014,5.4,37,109699,54.0
2065,What We Do in the Shadows,2014,7.6,76,109480,76.0
2066,Jack Ryan: Shadow Recruit,2014,6.2,57,109063,62.0
2067,Wild,2014,7.1,76,104936,71.0
2068,Blended,2014,6.5,31,101253,65.0
2069,If I Stay,2014,6.8,46,101236,68.0
2070,The Giver,2014,6.5,47,101033,65.0
2071,A Walk Among the Tombstones,2014,6.5,57,100244,65.0
2072,The Raid 2,2014,8.0,71,98691,80.0
2073,I Origins,2014,7.4,57,98007,74.0
2074,Pompeii,2014,5.5,39,96513,55.0
2075,Sex Tape,2014,5.1,36,96142,51.0
2076,"Love, Rosie",2014,7.2,44,93912,72.0
2077,Ride Along,2014,6.2,41,89757,62.0
2078,That Awkward Moment,2014,6.2,36,88348,62.0
2079,St. Vincent,2014,7.3,64,86229,73.0
2080,Night at the Museum: Secret of the Tomb,2014,6.2,47,84567,62.0
2081,3 Days to Kill,2014,6.2,40,78299,62.0
2082,The Guest,2014,6.7,76,78193,67.0
2083,Inherent Vice,2014,6.7,81,77751,67.0
2084,Selma,2014,7.5,89,74116,75.0
2085,Paddington,2014,7.2,77,73993,72.0
2086,"I, Frankenstein",2014,5.1,30,72944,51.0
2087,Big Eyes,2014,7.0,62,72145,70.0
2088,Penguins of Madagascar,2014,6.7,53,69364,67.0
2089,Rio 2,2014,6.3,49,67916,63.0
2090,Frank,2014,7.0,75,67020,70.0
2091,A Most Wanted Man,2014,6.8,73,65336,68.0
2092,The Hundred-Foot Journey,2014,7.3,55,65150,73.0
2093,Seventh Son,2014,5.5,30,64187,55.0
2094,The Water Diviner,2014,7.1,50,64014,71.0
2095,This Is Where I Leave You,2014,6.6,44,62541,66.0
2096,Deliver Us from Evil,2014,6.2,40,61445,62.0
2097,"As Above, So Below",2014,6.2,38,61255,62.0
2098,Before I Go to Sleep,2014,6.3,41,60213,63.0
2099,Into the Storm,2014,5.8,44,59162,58.0
2100,Unfriended,2014,5.6,59,57206,56.0
2101,The November Man,2014,6.3,38,57069,63.0
2102,Two Night Stand,2014,6.4,45,57005,64.0
2103,The Gambler,2014,6.0,55,56676,60.0
2104,The Book of Life,2014,7.3,67,56599,73.0
2105,Magic in the Moonlight,2014,6.6,54,56427,66.0
2106,A Most Violent Year,2014,7.0,79,56151,70.0
2107,The Signal,2014,6.1,54,56117,61.0
2108,The Best of Me,2014,6.7,29,55132,67.0
2109,Mr. Peabody & Sherman,2014,6.8,59,54809,68.0
2110,Sabotage,2014,5.7,41,53581,57.0
2111,Calvary,2014,7.4,77,50028,74.0
2112,The Legend of Hercules,2014,4.2,22,49079,42.0
2113,Automata,2014,6.1,37,48992,61.0
2114,The Boxtrolls,2014,6.8,61,48663,68.0
2115,Vampire Academy,2014,5.5,31,47417,55.0
2116,Winter's Tale,2014,6.2,31,47280,62.0
2117,Walk of Shame,2014,6.0,25,46475,60.0
2118,Draft Day,2014,6.8,54,46235,68.0
2119,Citizenfour,2014,8.1,88,45963,81.0
2120,Veronica Mars,2014,6.8,62,45273,68.0
2121,The Cobbler,2014,5.8,23,45023,58.0
2122,The Voices,2014,6.4,58,44999,64.0
2123,Pride,2014,7.8,79,44142,78.0
2124,The Loft,2014,6.3,24,44018,63.0
2125,'71,2014,7.2,83,43722,72.0
2126,Stonehearst Asylum,2014,6.8,52,43242,68.0
2127,Tammy,2014,4.9,39,42002,49.0
2128,Ouija,2014,4.5,38,41598,45.0
2129,Leviathan,2014,7.6,92,40471,76.0
2130,Million Dollar Arm,2014,7.0,56,39796,70.0
2131,Hector and the Search for Happiness,2014,7.0,29,39757,70.0
2132,Mommy,2014,8.1,74,39640,81.0
2133,Song of the Sea,2014,8.1,85,39605,81.0
2134,Before We Go,2014,6.8,31,39513,68.0
2135,"Two Days, One Night",2014,7.4,89,39460,74.0
2136,While We're Young,2014,6.3,77,38992,63.0
2137,Kill the Messenger,2014,7.0,60,38868,70.0
2138,The Rover,2014,6.4,64,38553,64.0
2139,Tusk,2014,5.4,55,37344,54.0
2140,Laggies,2014,6.4,63,36729,64.0
2141,God's Not Dead,2014,4.8,16,36558,48.0
2142,Endless Love,2014,6.3,30,36286,63.0
2143,The Inbetweeners 2,2014,6.4,55,36211,64.0
2144,Brick Mansions,2014,5.7,40,36149,57.0
2145,Paranormal Activity: The Marked Ones,2014,5.0,42,35689,50.0
2146,The Skeleton Twins,2014,6.8,74,35586,68.0
2147,Time Lapse,2014,6.5,50,35426,65.0
2148,Camp X-Ray,2014,6.9,54,35278,69.0
2149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,35254,62.0
2150,Wish I Was Here,2014,6.7,43,33594,67.0
2151,Maps to the Stars,2014,6.2,67,33189,62.0
2152,Winter Sleep,2014,8.2,88,33039,82.0
2153,Goodnight Mommy,2014,6.7,81,32523,67.0
2154,Pawn Sacrifice,2014,7.0,65,32314,70.0
2155,Cake,2014,6.4,49,31920,64.0
2156,The Salvation,2014,6.7,64,31111,67.0
2157,Left Behind,2014,3.1,12,30648,31.0
2158,Love & Mercy,2014,7.4,80,30521,74.0
2159,Cold in July,2014,6.8,73,30469,68.0
2160,Black Sea,2014,6.4,62,30161,64.0
2161,Star Wars: The Force Awakens,2015,8.0,81,747713,80.0
2162,Mad Max: Fury Road,2015,8.1,90,723932,81.0
2163,The Martian,2015,8.0,80,627005,80.0
2164,Avengers: Age of Ultron,2015,7.4,66,594757,74.0
2165,The Revenant,2015,8.0,76,567612,80.0
2166,Jurassic World,2015,7.0,59,506949,70.0
2167,Inside Out,2015,8.2,94,490285,82.0
2168,Ant-Man,2015,7.3,64,439564,73.0
2169,The Hateful Eight,2015,7.8,68,397336,78.0
2170,Spectre,2015,6.8,60,335519,68.0
2171,Spotlight,2015,8.1,93,330040,81.0
2172,Furious 7,2015,7.2,67,322507,72.0
2173,Sicario,2015,7.6,82,296831,76.0
2174,The Big Short,2015,7.8,81,284042,78.0
2175,Mission: Impossible - Rogue Nation,2015,7.4,75,281272,74.0
2176,Room,2015,8.2,86,280539,82.0
2177,Fifty Shades of Grey,2015,4.1,46,265859,41.0
2178,Bridge of Spies,2015,7.6,81,246836,76.0
2179,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,232469,65.0
2180,The Man from U.N.C.L.E.,2015,7.3,56,227143,73.0
2181,Terminator Genisys,2015,6.5,38,223215,65.0
2182,Chappie,2015,6.8,41,205008,68.0
2183,Spy,2015,7.0,75,204380,70.0
2184,Creed,2015,7.6,82,198889,76.0
2185,Insurgent,2015,6.2,42,188787,62.0
2186,Southpaw,2015,7.4,57,188473,74.0
2187,Maze Runner: The Scorch Trials,2015,6.3,43,187211,63.0
2188,Focus,2015,6.6,56,182217,66.0
2189,Minions,2015,6.4,56,180714,64.0
2190,The Intern,2015,7.1,51,180030,71.0
2191,San Andreas,2015,6.1,43,177943,61.0
2192,Everest,2015,7.1,64,171935,71.0
2193,Jupiter Ascending,2015,5.3,40,159902,53.0
2194,Straight Outta Compton,2015,7.9,72,157189,79.0
2195,The Lobster,2015,7.1,82,155743,71.0
2196,Tomorrowland,2015,6.5,60,155172,65.0
2197,Ted 2,2015,6.3,48,154238,63.0
2198,Black Mass,2015,6.9,68,148846,69.0
2199,The Danish Girl,2015,7.1,66,133776,71.0
2200,Fantastic Four,2015,4.3,27,133666,43.0
2201,Cinderella,2015,6.9,67,131649,69.0
2202,Steve Jobs,2015,7.2,82,131583,72.0
2203,The Witch,2015,6.8,83,130867,68.0
2204,The Age of Adaline,2015,7.2,51,128273,72.0
2205,Legend,2015,7.0,55,127425,70.0
2206,Pitch Perfect 2,2015,6.4,63,122748,64.0
2207,Trainwreck,2015,6.2,75,116805,62.0
2208,The Gift,2015,7.1,77,114321,71.0
2209,Crimson Peak,2015,6.5,66,112837,65.0
2210,Pixels,2015,5.6,27,112724,56.0
2211,Joy,2015,6.6,56,110927,66.0
2212,Brooklyn,2015,7.5,87,109164,75.0
2213,Me and Earl and the Dying Girl,2015,7.8,74,105815,78.0
2214,Get Hard,2015,6.0,34,105028,60.0
2215,The Walk,2015,7.3,70,103810,73.0
2216,In the Heart of the Sea,2015,6.9,47,102311,69.0
2217,The Visit,2015,6.2,55,94691,62.0
2218,Carol,2015,7.2,95,91407,72.0
2219,Run All Night,2015,6.6,59,89837,66.0
2220,Burnt,2015,6.6,42,89022,66.0
2221,Daddy's Home,2015,6.1,42,88355,61.0
2222,The Good Dinosaur,2015,6.7,66,86494,67.0
2223,Vacation,2015,6.1,34,82654,61.0
2224,Home,2015,6.6,55,82600,66.0
2225,Paper Towns,2015,6.3,56,82431,63.0
2226,Hotel Transylvania 2,2015,6.7,44,81613,67.0
2227,The Last Witch Hunter,2015,6.0,34,80677,60.0
2228,Green Room,2015,7.0,79,79287,70.0
2229,Hitman: Agent 47,2015,5.7,28,76826,57.0
2230,Self/less,2015,6.5,34,75551,65.0
2231,Insidious: Chapter 3,2015,6.1,52,75525,61.0
2232,Dope,2015,7.2,72,73687,72.0
2233,Concussion,2015,7.1,55,72514,71.0
2234,American Ultra,2015,6.1,50,72387,61.0
2235,Demolition,2015,7.0,49,71386,70.0
2236,Hardcore Henry,2015,6.7,51,70791,67.0
2237,Entourage,2015,6.6,38,69022,66.0
2238,Project Almanac,2015,6.4,47,68542,64.0
2239,Eye in the Sky,2015,7.3,73,67968,73.0
2240,The DUFF,2015,6.5,56,66580,65.0
2241,No Escape,2015,6.8,38,66045,68.0
2242,The Longest Ride,2015,7.1,33,65782,71.0
2243,Goosebumps,2015,6.3,60,65413,63.0
2244,Trumbo,2015,7.5,60,65385,75.0
2245,The Wedding Ringer,2015,6.7,35,64217,67.0
2246,Knock Knock,2015,4.9,53,63260,49.0
2247,Youth,2015,7.3,64,60424,73.0
2248,Bone Tomahawk,2015,7.1,72,60390,71.0
2249,Beasts of No Nation,2015,7.8,79,58080,78.0
2250,The Invitation,2015,6.7,74,57974,67.0
2251,Mortdecai,2015,5.5,27,57493,55.0
2252,Sisters,2015,6.0,58,56203,60.0
2253,Mr. Holmes,2015,6.9,67,55160,69.0
2254,Child 44,2015,6.5,41,54953,65.0
2255,The Night Before,2015,6.4,58,53780,64.0
2256,Anomalisa,2015,7.3,88,53626,73.0
2257,Pan,2015,5.8,36,53114,58.0
2258,Point Break,2015,5.3,34,50681,53.0
2259,Krampus,2015,6.2,49,50248,62.0
2260,Aloha,2015,5.4,40,49610,54.0
2261,Poltergeist,2015,4.9,47,49575,49.0
2262,Irrational Man,2015,6.6,53,46942,66.0
2263,Blackhat,2015,5.4,51,46666,54.0
2264,Macbeth,2015,6.6,71,46653,66.0
2265,True Story,2015,6.3,50,46574,63.0
2266,Magic Mike XXL,2015,5.6,60,46375,56.0
2267,The Little Prince,2015,7.8,70,46146,78.0
2268,Woman in Gold,2015,7.3,51,45513,73.0
2269,Solace,2015,6.4,36,45250,64.0
2270,Victor Frankenstein,2015,6.0,36,44084,60.0
2271,Wild Card,2015,5.6,40,43820,56.0
2272,Hot Pursuit,2015,5.1,31,42751,51.0
2273,The Dressmaker,2015,7.1,47,42317,71.0
2274,Man Up,2015,6.8,69,41406,68.0
2275,Victoria,2015,7.7,77,40973,77.0
2276,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,40895,60.0
2277,Amy,2015,7.8,85,40879,78.0
2278,The Man Who Knew Infinity,2015,7.2,56,38978,72.0
2279,Far from the Madding Crowd,2015,7.1,71,38644,71.0
2280,Sinister 2,2015,5.3,32,37725,53.0
2281,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,37709,63.0
2282,The Colony,2015,7.1,33,37575,71.0
2283,Mr. Right,2015,6.3,52,37499,63.0
2284,The Peanuts Movie,2015,7.1,67,37353,71.0
2285,Maggie,2015,5.6,52,37096,56.0
2286,Son of Saul,2015,7.5,89,35913,75.0
2287,Dark Places,2015,6.2,39,35610,62.0
2288,The Ridiculous 6,2015,4.8,18,35352,48.0
2289,Slow West,2015,6.9,72,35195,69.0
2290,Ip Man 3,2015,7.1,57,34983,71.0
2291,The Lazarus Effect,2015,5.2,31,34772,52.0
2292,The Transporter Refueled,2015,5.2,32,34295,52.0
2293,The Gunman,2015,5.8,39,34252,58.0
2294,Secret in Their Eyes,2015,6.3,45,33934,63.0
2295,Last Knights,2015,6.2,27,33930,62.0
2296,Sleeping with Other People,2015,6.5,64,33360,65.0
2297,A Man Called Ove,2015,7.7,70,33287,77.0
2298,The Boy Next Door,2015,4.7,30,33132,47.0
2299,Hot Tub Time Machine 2,2015,5.1,29,33084,51.0
2300,Going Clear: Scientology & the Prison of Belief,2015,8.0,80,32409,80.0
2301,Suffragette,2015,6.9,67,31688,69.0
2302,Absolutely Anything,2015,6.0,31,31461,60.0
2303,High-Rise,2015,5.6,65,31206,56.0
2304,Regression,2015,5.7,32,31029,57.0
2305,Shaun the Sheep Movie,2015,7.4,81,30671,74.0
2306,The 33,2015,6.9,55,30386,69.0
2307,Love,2015,6.0,51,30265,60.0
2308,We Are Your Friends,2015,6.2,46,30071,62.0
2309,"McFarland, USA",2015,7.4,60,29622,74.0
2310,Paul Blart: Mall Cop 2,2015,4.4,13,29120,44.0
2311,The Stanford Prison Experiment,2015,6.9,67,28871,69.0
2312,Mustang,2015,7.6,83,28321,76.0
2313,The Final Girls,2015,6.6,59,27798,66.0
2314,The Second Best Exotic Marigold Hotel,2015,6.6,51,27424,66.0
2315,Deadpool,2016,8.0,65,748334,80.0
2316,Batman v Superman: Dawn of Justice,2016,6.6,44,539683,66.0
2317,Captain America: Civil War,2016,7.8,75,512911,78.0
2318,Suicide Squad,2016,6.1,40,485620,61.0
2319,Arrival,2016,7.9,81,459299,79.0
2320,Doctor Strange,2016,7.5,72,435580,75.0
2321,Rogue One: A Star Wars Story,2016,7.8,65,434620,78.0
2322,La La Land,2016,8.1,93,382710,81.0
2323,Zootopia,2016,8.0,78,350116,80.0
2324,Hacksaw Ridge,2016,8.2,71,326722,82.0
2325,X-Men: Apocalypse,2016,7.0,52,324628,70.0
2326,Fantastic Beasts and Where to Find Them,2016,7.4,66,309526,74.0
2327,Passengers,2016,7.0,41,278419,70.0
2328,Split,2016,7.3,62,273828,73.0
2329,10 Cloverfield Lane,2016,7.2,76,240717,72.0
2330,The Jungle Book,2016,7.4,77,227621,74.0
2331,The Nice Guys,2016,7.4,70,218480,74.0
2332,The Accountant,2016,7.4,51,214476,74.0
2333,Warcraft: The Beginning,2016,6.9,32,213196,69.0
2334,Moonlight,2016,7.4,99,199072,74.0
2335,Star Trek: Beyond,2016,7.1,68,197134,71.0
2336,Moana,2016,7.6,81,196416,76.0
2337,Finding Dory,2016,7.3,77,195153,73.0
2338,Now You See Me 2,2016,6.5,46,194037,65.0
2339,Manchester by the Sea,2016,7.8,96,191950,78.0
2340,Nocturnal Animals,2016,7.5,67,181104,75.0
2341,Sully,2016,7.5,74,180837,75.0
2342,Jason Bourne,2016,6.6,58,177578,66.0
2343,Ghostbusters: Answer the Call,2016,5.3,60,172895,53.0
2344,The Conjuring 2,2016,7.4,65,170259,74.0
2345,Don't Breathe,2016,7.1,71,164118,71.0
2346,Lion,2016,8.1,69,162802,81.0
2347,The Promise,2016,6.1,49,161796,61.0
2348,Hell or High Water,2016,7.6,88,156976,76.0
2349,The Magnificent Seven,2016,6.9,54,155265,69.0
2350,Assassin's Creed,2016,5.8,36,154329,58.0
2351,Hidden Figures,2016,7.8,74,152789,78.0
2352,Me Before You,2016,7.4,51,149143,74.0
2353,The Secret Life of Pets,2016,6.5,61,147543,65.0
2354,Independence Day: Resurgence,2016,5.2,32,147075,52.0
2355,Sausage Party,2016,6.2,66,146730,62.0
2356,Captain Fantastic,2016,7.9,72,142100,79.0
2357,The Legend of Tarzan,2016,6.3,44,140226,63.0
2358,War Dogs,2016,7.1,57,139470,71.0
2359,The Girl on the Train,2016,6.5,48,135549,65.0
2360,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,130292,67.0
2361,Inferno,2016,6.2,42,124704,62.0
2362,Central Intelligence,2016,6.3,52,122061,63.0
2363,Deepwater Horizon,2016,7.2,68,121574,72.0
2364,London Has Fallen,2016,5.9,28,116305,59.0
2365,Allied,2016,7.1,60,112305,71.0
2366,Snowden,2016,7.3,58,106597,73.0
2367,Jack Reacher: Never Go Back,2016,6.1,47,106464,61.0
2368,Kung Fu Panda 3,2016,7.1,66,105019,71.0
2369,"Hail, Caesar!",2016,6.3,72,104058,63.0
2370,Your Name.,2016,8.4,79,100915,84.0
2371,Sing,2016,7.1,59,100689,71.0
2372,The Great Wall,2016,6.0,42,100413,60.0
2373,The Shallows,2016,6.3,59,97381,63.0
2374,Kubo and the Two Strings,2016,7.8,84,94876,78.0
2375,13 Hours,2016,7.3,48,94860,73.0
2376,Neighbors 2: Sorority Rising,2016,5.7,58,93671,57.0
2377,Nerve,2016,6.6,58,93397,66.0
2378,Dirty Grandpa,2016,5.9,21,92920,59.0
2379,Bad Moms,2016,6.2,60,91574,62.0
2380,Train to Busan,2016,7.5,72,91278,75.0
2381,Lights Out,2016,6.3,58,91100,63.0
2382,Gods of Egypt,2016,5.4,25,87726,54.0
2383,Allegiant,2016,5.7,33,86319,57.0
2384,The 5th Wave,2016,5.2,33,84949,52.0
2385,The Founder,2016,7.2,66,84058,72.0
2386,Swiss Army Man,2016,7.0,64,82052,70.0
2387,Why Him?,2016,6.2,39,81743,62.0
2388,Money Monster,2016,6.5,55,81151,65.0
2389,The Huntsman: Winter's War,2016,6.1,35,80159,61.0
2390,Silence,2016,7.2,79,77007,72.0
2391,Hunt for the Wilderpeople,2016,7.9,81,76908,79.0
2392,Fences,2016,7.2,79,76759,72.0
2393,The Brothers Grimsby,2016,6.2,44,76315,62.0
2394,The Edge of Seventeen,2016,7.4,77,74283,74.0
2395,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,72240,60.0
2396,Alice Through the Looking Glass,2016,6.2,34,71796,62.0
2397,Collateral Beauty,2016,6.8,23,70284,68.0
2398,The Purge: Election Year,2016,6.0,55,70242,60.0
2399,How to Be Single,2016,6.1,51,69317,61.0
2400,Mike and Dave Need Wedding Dates,2016,6.0,51,69204,60.0
2401,Eddie the Eagle,2016,7.4,54,69055,74.0
2402,Sing Street,2016,8.0,79,68278,80.0
2403,Resident Evil: The Final Chapter,2016,5.6,49,67918,56.0
2404,Patriots Day,2016,7.4,69,67483,74.0
2405,The Neon Demon,2016,6.2,51,65640,62.0
2406,The Angry Birds Movie,2016,6.3,43,65422,63.0
2407,Hush,2016,6.6,67,64520,66.0
2408,Midnight Special,2016,6.6,76,64492,66.0
2409,The BFG,2016,6.4,66,63937,64.0
2410,The Handmaiden,2016,8.1,84,63369,81.0
2411,A Monster Calls,2016,7.5,76,63298,75.0
2412,The Autopsy of Jane Doe,2016,6.8,65,63039,68.0
2413,The Boy,2016,6.0,42,62406,60.0
2414,A Cure for Wellness,2016,6.4,47,62272,64.0
2415,Mechanic: Resurrection,2016,5.7,38,60948,57.0
2416,Jackie,2016,6.7,81,60484,67.0
2417,The Lost City of Z,2016,6.6,78,58926,66.0
2418,Trolls,2016,6.5,56,57881,65.0
2419,Underworld: Blood Wars,2016,5.8,23,57375,58.0
2420,Café Society,2016,6.6,64,57373,66.0
2421,The Infiltrator,2016,7.0,66,57182,70.0
2422,Triple 9,2016,6.3,52,56746,63.0
2423,Zoolander 2,2016,4.7,34,56616,47.0
2424,Bridget Jones's Baby,2016,6.6,59,54181,66.0
2425,The Finest Hours,2016,6.8,58,52641,68.0
2426,Office Christmas Party,2016,5.8,42,49820,58.0
2427,Elle,2016,7.2,89,49578,72.0
2428,Blood Father,2016,6.4,66,48547,64.0
2429,Criminal,2016,6.3,36,47767,63.0
2430,Paterson,2016,7.4,90,47720,74.0
2431,Keeping Up with the Joneses,2016,5.9,34,47325,59.0
2432,Storks,2016,6.8,56,46540,68.0
2433,Pete's Dragon,2016,6.7,71,45945,67.0
2434,Ride Along 2,2016,5.9,32,45093,59.0
2435,Colossal,2016,6.2,70,44866,62.0
2436,Everybody Wants Some!!,2016,7.0,83,44854,70.0
2437,Gold,2016,6.7,49,44797,67.0
2438,Whiskey Tango Foxtrot,2016,6.6,57,43721,66.0
2439,Miss Sloane,2016,7.5,64,43670,75.0
2440,Ice Age: Collision Course,2016,5.7,34,43612,57.0
2441,Live by Night,2016,6.4,49,42864,64.0
2442,Pride and Prejudice and Zombies,2016,5.8,45,42268,58.0
2443,The Fundamentals of Caring,2016,7.3,55,41896,73.0
2444,Ouija: Origin of Evil,2016,6.1,65,41784,61.0
2445,Raw,2016,7.0,81,41488,70.0
2446,Popstar: Never Stop Never Stopping,2016,6.7,68,41143,67.0
2447,Florence Foster Jenkins,2016,6.9,71,40781,69.0
2448,The Girl with All the Gifts,2016,6.7,67,40735,67.0
2449,Masterminds,2016,5.8,47,40535,58.0
2450,The Light Between Oceans,2016,7.2,60,40455,72.0
2451,Free State of Jones,2016,6.9,53,39502,69.0
2452,"I, Daniel Blake",2016,7.9,78,38812,79.0
2453,Keanu,2016,6.3,63,38624,63.0
2454,The Salesman,2016,7.8,85,35803,78.0
2455,The Boss,2016,5.4,40,35598,54.0
2456,Ben-Hur,2016,5.7,38,35304,57.0
2457,Imperium,2016,6.5,68,34769,65.0
2458,Toni Erdmann,2016,7.4,93,34706,74.0
2459,Anthropoid,2016,7.2,59,34295,72.0
2460,The Forest,2016,4.8,34,34139,48.0
2461,Blair Witch,2016,5.0,47,33738,50.0
2462,The Belko Experiment,2016,6.1,44,33648,61.0
2463,Meet the Blacks,2016,6.2,26,33012,62.0
2464,A Hologram for the King,2016,6.1,58,32778,61.0
2465,Morgan,2016,5.8,48,32361,58.0
2466,Free Fire,2016,6.4,63,31725,64.0
2467,The Do-Over,2016,5.7,22,29992,57.0
2468,The Wailing,2016,7.4,81,28975,74.0
2469,Race,2016,7.1,56,28649,71.0
2470,Before I Wake,2016,6.2,68,28223,62.0
2471,The Take,2016,6.3,48,27928,63.0
2472,American Honey,2016,7.0,79,27836,70.0
2473,Logan,2017,8.1,77,495929,81.0
2474,Wonder Woman,2017,7.5,76,425860,75.0
2475,Dunkirk,2017,8.0,94,405318,80.0
2476,Star Wars: The Last Jedi,2017,7.3,85,400992,73.0
2477,Guardians of the Galaxy Vol. 2,2017,7.7,67,396332,77.0
2478,Thor: Ragnarok,2017,7.9,74,363211,79.0
2479,Spider-Man: Homecoming,2017,7.5,73,342731,75.0
2480,Get Out,2017,7.7,84,319436,77.0
2481,Blade Runner 2049,2017,8.1,81,314744,81.0
2482,Baby Driver,2017,7.7,86,311896,77.0
2483,It,2017,7.4,69,291387,74.0
2484,Justice League,2017,6.6,45,267895,66.0
2485,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,257656,82.0
2486,John Wick: Chapter 2,2017,7.5,75,236382,75.0
2487,The Shape of Water,2017,7.4,87,234339,74.0
